date,data
2019-October-Mid,28207
2019-October-Late,27463
2020-October-Early,32797
2020-October-Mid,33718
2020-October-Late,35143
2021-October-Early,34334
2021-October-Mid,34090
2021-October-Late,33895
2022-October-Early,31624
2022-October-Mid,31136
2022-October-Late,30973
2023-October-Early,36401
2023-October-Mid,35578
2023-October-Late,34817
2024-October-Early,34977
2024-October-Mid,0
2024-October-Late,0
2015-November-Early,24320
2015-November-Mid,23752
2015-November-Late,23335
2016-November-Early,20661
2016-November-Mid,19093
2016-November-Late,18690
2017-November-Early,29320
2017-November-Mid,30590
2017-November-Late,30641
2018-November-Early,31933
2018-November-Mid,31753
2018-November-Late,31775
2019-November-Early,26124
2019-November-Mid,25588
2019-November-Late,25372
2020-November-Early,35522
2020-November-Mid,35020
2020-November-Late,35543
2021-November-Early,33378
2021-November-Mid,31870
2021-November-Late,30732
2022-November-Early,31043
2022-November-Mid,29950
2022-November-Late,30033
2023-November-Early,31471
2023-November-Mid,29995
2023-November-Late,30504
2024-November-Early,0
2024-November-Mid,0
2024-November-Late,0
2015-December-Early,22985
2015-December-Mid,22986
2015-December-Late,23240
2016-December-Early,18942
2016-December-Mid,19543
2016-December-Late,19689
2017-December-Early,30791
2017-December-Mid,31118
2017-December-Late,31174
2018-December-Early,31944
2018-December-Mid,32281
2018-December-Late,32016
2019-December-Early,25276
2019-December-Mid,25774
2019-December-Late,26081
2020-December-Early,35678
2020-December-Mid,36030
2020-December-Late,36682
2021-December-Early,30510
2021-December-Mid,30894
2021-December-Late,30439
2022-December-Early,30080
2022-December-Mid,30248
2022-December-Late,30224
2023-December-Early,33199
2023-December-Mid,33221
2023-December-Late,33372
2024-December-Early,0
2024-December-Mid,0
2024-December-Late,0
