date,data
2003-April-Early,4467
2003-April-Mid,4458
2003-April-Late,4476
2004-April-Early,6550
2004-April-Mid,6369
2004-April-Late,6344
2005-April-Early,8943
2005-April-Mid,8951
2005-April-Late,9038
2006-April-Early,5664
2006-April-Mid,5640
2006-April-Late,5618
2007-April-Early,6005
2007-April-Mid,5988
2007-April-Late,6153
2008-April-Early,4679
2008-April-Mid,4712
2008-April-Late,4696
2009-April-Early,7234
2009-April-Mid,7352
2009-April-Late,7513
2010-April-Early,9251
2010-April-Mid,9544
2010-April-Late,9832
2011-April-Early,8192
2011-April-Mid,8041
2011-April-Late,7837
2012-April-Early,7971
2012-April-Mid,7907
2012-April-Late,8068
2013-April-Early,10490
2013-April-Mid,10522
2013-April-Late,10477
2014-April-Early,9595
2014-April-Mid,9583
2014-April-Late,9804
2015-April-Early,11075
2015-April-Mid,11373
2015-April-Late,11431
2016-April-Early,10921
2016-April-Mid,10943
2016-April-Late,10970
2017-April-Early,7442
2017-April-Mid,7390
2017-April-Late,7099
2018-April-Early,9289
2018-April-Mid,9390
2018-April-Late,9403
2019-April-Early,16949
2019-April-Mid,17046
2019-April-Late,17159
2020-April-Early,13350
2020-April-Mid,13414
2020-April-Late,13374
2021-April-Early,10892
2021-April-Mid,11712
2021-April-Late,11651
2022-April-Early,8480
2022-April-Mid,8421
2022-April-Late,8409
2023-April-Early,14339
2023-April-Mid,14277
2023-April-Late,14730
2024-April-Early,16009
2024-April-Mid,16079
2024-April-Late,16142
1996-May-Early,3168
1996-May-Mid,3154
1996-May-Late,3146
1997-May-Early,8429
1997-May-Mid,8631
1997-May-Late,9235
1998-May-Early,6586
1998-May-Mid,6534
1998-May-Late,6581
1999-May-Early,2833
1999-May-Mid,2752
1999-May-Late,2686
2000-May-Early,2440
2000-May-Mid,2440
2000-May-Late,2487
2001-May-Early,9470
2001-May-Mid,9499
2001-May-Late,9566
2002-May-Early,6087
2002-May-Mid,6120
2002-May-Late,6179
2003-May-Early,4469
2003-May-Mid,4533
2003-May-Late,4659
2004-May-Early,6390
2004-May-Mid,6575
2004-May-Late,6855
2005-May-Early,9089
2005-May-Mid,9097
2005-May-Late,9156
2006-May-Early,5572
2006-May-Mid,5584
2006-May-Late,5655
2007-May-Early,6226
