date,data
2003-April-Early,3923
2003-April-Mid,3801
2003-April-Late,3463
2004-April-Early,2013
2004-April-Mid,2009
2004-April-Late,1975
2005-April-Early,1640
2005-April-Mid,1776
2005-April-Late,1811
2006-April-Early,3577
2006-April-Mid,3471
2006-April-Late,3170
2007-April-Early,1430
2007-April-Mid,1503
2007-April-Late,1466
2008-April-Early,2422
2008-April-Mid,2479
2008-April-Late,2282
2009-April-Early,2816
2009-April-Mid,3559
2009-April-Late,4612
2010-April-Early,5858
2010-April-Mid,6174
2010-April-Late,5925
2011-April-Early,4050
2011-April-Mid,3675
2011-April-Late,2233
2012-April-Early,3344
2012-April-Mid,3459
2012-April-Late,3458
2013-April-Early,4185
2013-April-Mid,4198
2013-April-Late,3868
2014-April-Early,1948
2014-April-Mid,2016
2014-April-Late,2012
2015-April-Early,2534
2015-April-Mid,2602
2015-April-Late,2762
2016-April-Early,4253
2016-April-Mid,4616
2016-April-Late,4572
2017-April-Early,3896
2017-April-Mid,3774
2017-April-Late,3630
2018-April-Early,4320
2018-April-Mid,4292
2018-April-Late,4322
2019-April-Early,2243
2019-April-Mid,2280
2019-April-Late,2293
2020-April-Early,4448
2020-April-Mid,4414
2020-April-Late,4644
2021-April-Early,5165
2021-April-Mid,5238
2021-April-Late,5228
2022-April-Early,4899
2022-April-Mid,4930
2022-April-Late,5100
2023-April-Early,3618
2023-April-Mid,3947
2023-April-Late,4196
2024-April-Early,4226
2024-April-Mid,4380
2024-April-Late,4600
1996-May-Early,2963
1996-May-Mid,2471
1996-May-Late,2081
1997-May-Early,1501
1997-May-Mid,1457
1997-May-Late,1592
1998-May-Early,1460
1998-May-Mid,1513
1998-May-Late,1416
1999-May-Early,1162
1999-May-Mid,1100
1999-May-Late,1048
2000-May-Early,2352
2000-May-Mid,2035
2000-May-Late,1647
2001-May-Early,1437
2001-May-Mid,1219
2001-May-Late,1107
2002-May-Early,1139
2002-May-Mid,1242
2002-May-Late,1382
2003-May-Early,3016
2003-May-Mid,2853
2003-May-Late,2382
2004-May-Early,1847
2004-May-Mid,1800
