date,data
2003-April-Early,4880
2003-April-Mid,4921
2003-April-Late,4958
2004-April-Early,6428
2004-April-Mid,6515
2004-April-Late,6511
2005-April-Early,6346
2005-April-Mid,6329
2005-April-Late,6299
2006-April-Early,6161
2006-April-Mid,6055
2006-April-Late,6042
2007-April-Early,6877
2007-April-Mid,6760
2007-April-Late,7031
2008-April-Early,6498
2008-April-Mid,6519
2008-April-Late,6333
2009-April-Early,5977
2009-April-Mid,6235
2009-April-Late,6006
2010-April-Early,6352
2010-April-Mid,6145
2010-April-Late,6311
2011-April-Early,6755
2011-April-Mid,6730
2011-April-Late,6681
2012-April-Early,7016
2012-April-Mid,7194
2012-April-Late,7321
2013-April-Early,7888
2013-April-Mid,8338
2013-April-Late,8641
2014-April-Early,6150
2014-April-Mid,6261
2014-April-Late,6249
2015-April-Early,7451
2015-April-Mid,7458
2015-April-Late,7305
2016-April-Early,11350
2016-April-Mid,11371
2016-April-Late,11474
2017-April-Early,9853
2017-April-Mid,10104
2017-April-Late,10251
2018-April-Early,9667
2018-April-Mid,9742
2018-April-Late,9810
2019-April-Early,9583
2019-April-Mid,9724
2019-April-Late,9693
2020-April-Early,6658
2020-April-Mid,6909
2020-April-Late,6761
2021-April-Early,11149
2021-April-Mid,11393
2021-April-Late,11594
2022-April-Early,12820
2022-April-Mid,12732
2022-April-Late,12902
2023-April-Early,12371
2023-April-Mid,12247
2023-April-Late,12144
2024-April-Early,9069
2024-April-Mid,9021
2024-April-Late,9497
1996-May-Early,2683
1996-May-Mid,2810
1996-May-Late,2918
1997-May-Early,4500
1997-May-Mid,4479
1997-May-Late,4288
1998-May-Early,5928
1998-May-Mid,6243
1998-May-Late,6164
1999-May-Early,4762
1999-May-Mid,4699
1999-May-Late,4475
2000-May-Early,3869
2000-May-Mid,4010
2000-May-Late,3998
2001-May-Early,3855
2001-May-Mid,3769
2001-May-Late,3638
2002-May-Early,5051
2002-May-Mid,5106
2002-May-Late,4971
2003-May-Early,4958
2003-May-Mid,4989
2003-May-Late,4978
2004-May-Early,6492
2004-May-Mid,6604
2004-May-Late,6607
2005-May-Early,6263
2005-May-Mid,6352
2005-May-Late,6361
2006-May-Early,6112
2006-May-Mid,6024
2006-May-Late,6125
2007-May-Early,7956
2007-May-Mid,8129
2007-May-Late,8026
2008-May-Early,6568
2008-May-Mid,6663
2008-May-Late,6627
2009-May-Early,5945
2009-May-Mid,6007
2009-May-Late,5888
2010-May-Early,6293
2010-May-Mid,6657
2010-May-Late,6796
2011-May-Early,6674
2011-May-Mid,6683
2011-May-Late,6752
2012-May-Early,7377
2012-May-Mid,7378
2012-May-Late,7149
2013-May-Early,8705
2013-May-Mid,8926
2013-May-Late,8573
2014-May-Early,6232
2014-May-Mid,6314
2014-May-Late,6427
2015-May-Early,7599
2015-May-Mid,7593
2015-May-Late,7565
2016-May-Early,11733
2016-May-Mid,12182
2016-May-Late,12365
2017-May-Early,10239
2017-May-Mid,10229
2017-May-Late,10272
2018-May-Early,9956
2018-May-Mid,9935
2018-May-Late,9890
2019-May-Early,8970
2019-May-Mid,9235
2019-May-Late,9406
2020-May-Early,6558
2020-May-Mid,7077
2020-May-Late,7230
2021-May-Early,11630
2021-May-Mid,11645
2021-May-Late,11630
2022-May-Early,12820
2022-May-Mid,13181
2022-May-Late,13437
2023-May-Early,11612
2023-May-Mid,11308
2023-May-Late,10942
2024-May-Early,9301
2024-May-Mid,9310
2024-May-Late,9174
1996-June-Early,2872
